date,total_eval,total_cost,return_pct,dod_change,dod_pct
2026-07-16,38669591,40463747,-4.43,0,0.00
2026-07-17,38221848,40463747,-5.54,-6489,-0.02
2026-07-18,38128989,40463747,-5.77,-92859,-0.24
2026-07-21,37487028,40463747,-7.36,-641961,-1.68
2026-07-22,37814523,40463747,-6.55,327495,0.87
2026-07-23,37959489,40463747,-6.19,144966,0.38
2026-07-24,37812367,40463747,-6.55,-147122,-0.39
2026-07-25,37523637,40463747,-7.27,-288730,-0.76
2026-07-28,37197740,40463747,-8.07,-325897,-0.87
2026-07-29,55770184,64975780,-14.17,0,0.00
2026-07-30,55003775,64975780,-15.35,-94363,-0.17
2026-07-31,56492104,64975780,-13.06,1488329,2.71
2026-08-01,57049687,64975780,-12.20,557583,0.99
